Plumas Hospitalizations - by Zip Code 2010,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95915,0,,,Not applicable
95923,0,,,Not applicable
95934,0,,,Not applicable
95947,36.677,0.929,379.41,Rate is unstable interpret with caution
95956,0,,,Not applicable
95971,0,,,Not applicable
95981,0,,,Not applicable
95983,0,,,Not applicable
95984,0,,,Not applicable
96020,104.805,10.563,433.666,Rate is unstable interpret with caution
96103,0,,,Not applicable
96105,0,,,Not applicable
96106,0,,,Not applicable
96114,0,,,Not applicable
96122,39.066,4.69,200.017,Rate is unstable interpret with caution
96129,0,,,Not applicable
96135,0,,,Not applicable
96137,0,,,Not applicable
California,12.692,12.335,13.058,Rate is stable
Plumas,22.45,12.463,74.193,Rate may be unstable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Inpatient Discharge Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
