Lassen Hospitalizations - by Zip Code 2018,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
96006,0,,,Not applicable
96056,0,,,Not applicable
96109,0,,,Not applicable
96113,0,,,Not applicable
96114,0,,,Not applicable
96117,0,,,Not applicable
96119,0,,,Not applicable
96121,0,,,Not applicable
96123,0,,,Not applicable
96128,0,,,Not applicable
96130,14.075,1.584,56.697,Rate is unstable interpret with caution
96132,0,,,Not applicable
96136,0,,,Not applicable
96137,0,,,Not applicable
California,8.385,8.11,8.665,Rate is stable
Lassen,7.145,3.895,39.95,Rate is unstable interpret with caution
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Inpatient Discharge Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
