Mono ED Visits - by Zip Code 2010,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
93512,0,,,Not applicable
93514,0,,,Not applicable
93517,0,,,Not applicable
93529,0,,,Not applicable
93541,0,,,Not applicable
93546,23.207,2.811,225.498,Rate is unstable interpret with caution
96107,0,,,Not applicable
96133,0,,,Not applicable
California,14.69,14.308,15.085,Rate is stable
Mono,16.825,9.17,111.91,Rate is unstable interpret with caution
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Health Care Access and Information - Emergency Department Data,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
