Yolo Deaths - by Zip Code 2013,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95605,0,,,Not applicable
95606,0,,,Not applicable
95607,0,,,Not applicable
95612,0,,,Not applicable
95615,0,,,Not applicable
95616,1.842,0.047,23.527,Rate is unstable interpret with caution
95618,0,,,Not applicable
95627,0,,,Not applicable
95637,0,,,Not applicable
95645,0,,,Not applicable
95653,0,,,Not applicable
95679,0,,,Not applicable
95691,4.193,0.508,23.824,Rate is unstable interpret with caution
95694,17.543,0.444,102.928,Rate is unstable interpret with caution
95695,5.587,0.664,24.114,Rate is unstable interpret with caution
95698,0,,,Not applicable
95776,3.699,0.094,51.956,Rate is unstable interpret with caution
95937,0,,,Not applicable
California,4.793,4.577,5.015,Rate is stable
Yolo,4.253,1.9,8.727,Rate may be unstable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
