Yolo Deaths - by Zip Code 2021,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95605,14.814,1.749,85.293,Rate is unstable interpret with caution
95606,0,,,Not applicable
95607,0,,,Not applicable
95612,0,,,Not applicable
95615,0,,,Not applicable
95616,0,,,Not applicable
95618,0,,,Not applicable
95627,0,,,Not applicable
95637,0,,,Not applicable
95645,36.528,0.925,815.096,Rate is unstable interpret with caution
95653,0,,,Not applicable
95679,0,,,Not applicable
95691,5.696,0.627,25.566,Rate is unstable interpret with caution
95694,0,,,Not applicable
95695,5.857,1.181,20.28,Rate is unstable interpret with caution
95698,0,,,Not applicable
95776,0,,,Not applicable
95937,0,,,Not applicable
California,18.028,17.602,18.458,Rate is stable
Yolo,2.15,1.207,6.633,Rate may be unstable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
