Mono Deaths - by Zip Code 2010,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
93512,0,,,Not applicable
93514,9.127,0.231,56.352,Rate is unstable interpret with caution
93517,0,,,Not applicable
93529,0,,,Not applicable
93541,0,,,Not applicable
93546,7.615,0.193,210.117,Rate is unstable interpret with caution
96107,0,,,Not applicable
96133,0,,,Not applicable
California,4.935,4.713,5.162,Rate is stable
Mono,5.883,6.41,95.22,Rate is unstable interpret with caution
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
