Calaveras Deaths - by Zip Code 2024,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95222,0,,,Not applicable
95223,87.975,2.227,3060.276,Rate is unstable interpret with caution
95228,0,,,Not applicable
95230,0,,,Not applicable
95232,0,,,Not applicable
95236,0,,,Not applicable
95245,0,,,Not applicable
95246,0,,,Not applicable
95247,44.792,1.134,407.884,Rate is unstable interpret with caution
95249,39.894,4.81,398.862,Rate is unstable interpret with caution
95251,0,,,Not applicable
95252,0,,,Not applicable
95255,9.224,0.234,1058.815,Rate is unstable interpret with caution
95257,0,,,Not applicable
Calaveras,14.815,5.318,37.18,Rate may be unstable
California,14.48,14.092,14.877,Rate is stable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
