Siskiyou Deaths - by Zip Code 2024,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95568,0,,,Not applicable
96014,0,,,Not applicable
96023,0,,,Not applicable
96025,0,,,Not applicable
96027,0,,,Not applicable
96031,0,,,Not applicable
96032,0,,,Not applicable
96034,0,,,Not applicable
96038,0,,,Not applicable
96039,0,,,Not applicable
96044,0,,,Not applicable
96050,0,,,Not applicable
96057,63.617,1.611,2676.831,Rate is unstable interpret with caution
96058,0,,,Not applicable
96064,28.29,0.716,203.326,Rate is unstable interpret with caution
96067,0,,,Not applicable
96085,0,,,Not applicable
96086,0,,,Not applicable
96094,4.674,0.118,126.113,Rate is unstable interpret with caution
96097,21.981,4.143,101.682,Rate is unstable interpret with caution
96134,0,,,Not applicable
California,14.48,14.092,14.877,Rate is stable
Siskiyou,11.033,6.6,33.437,Rate may be unstable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
