Tuolumne Deaths - by Zip Code 2016,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95309,0,,,Not applicable
95310,506.946,27.334,2664.612,Rate is unstable interpret with caution
95311,0,,,Not applicable
95321,20.232,0.512,488.574,Rate is unstable interpret with caution
95327,0,,,Not applicable
95329,0,,,Not applicable
95335,0,,,Not applicable
95346,0,,,Not applicable
95364,0,,,Not applicable
95370,9.228,1.465,38.836,Rate is unstable interpret with caution
95372,0,,,Not applicable
95379,0,,,Not applicable
95383,0,,,Not applicable
California,4.87,4.66,5.09,Rate is stable
Tuolumne,11.345,6.753,32.04,Rate may be unstable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
