Siskiyou Deaths - by Zip Code 2015,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
95568,0,,,Not applicable
96014,0,,,Not applicable
96023,0,,,Not applicable
96025,0,,,Not applicable
96027,0,,,Not applicable
96031,0,,,Not applicable
96032,0,,,Not applicable
96034,0,,,Not applicable
96038,0,,,Not applicable
96039,68.069,7.967,845.079,Rate is unstable interpret with caution
96044,0,,,Not applicable
96050,66.944,1.695,28994.691,Rate is unstable interpret with caution
96057,0,,,Not applicable
96058,0,,,Not applicable
96064,44.088,7.795,189.866,Rate is unstable interpret with caution
96067,0,,,Not applicable
96085,0,,,Not applicable
96086,0,,,Not applicable
96094,40.078,4.533,169.947,Rate is unstable interpret with caution
96097,0,,,Not applicable
96134,0,,,Not applicable
California,4.79,4.58,5.01,Rate is stable
Siskiyou,17.312,7.278,38.562,Rate may be unstable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
