Lassen Deaths - by Zip Code 2013,,,,
Any Opioid : Age-Adjusted Rate per 100k Residents,,,,Any Opioid : Age-Adjusted Rate per 100k Residents
Zip Code,Age-Adjusted Rate,95% LCL,95% UCL,Stability
96006,0,,,Not applicable
96056,0,,,Not applicable
96109,0,,,Not applicable
96113,0,,,Not applicable
96114,0,,,Not applicable
96117,0,,,Not applicable
96119,0,,,Not applicable
96121,0,,,Not applicable
96123,0,,,Not applicable
96128,0,,,Not applicable
96130,21.579,6.996,62.604,Rate may be unstable
96132,0,,,Not applicable
96136,0,,,Not applicable
96137,0,,,Not applicable
California,4.793,4.577,5.015,Rate is stable
Lassen,14.67,7.69,45.13,Rate may be unstable
Note: Missing values are intentionally left blank and are considered not applicable.,,,,
Source: California Department of Public Health - Vital Records and Statistic Division - Multiple Cause of Death and California Comprehensive Death Files,,,,
Prepared by: California Department of Public Health - Substance and Addiction Prevention Branch.,,,,
File downloaded on,,06.01.2026,,
Suggested Citation: ,,,,
California Overdose Surveillance Dashboard. Prepared by California Department of Public Health (CDPH) - Substance and Addiction Prevention Branch (SAPB).,,,,
Accessed ,06/01/26., https://skylab.cdph.ca.gov/ODdash/,,
